Pig_ID,Group,Mutation_type,Protein,Evolution_rate
4473,SINGLE LAIV,Synonymous,PB2,3.884711779448621e-05
4473,SINGLE LAIV,Synonymous,PB1,0.00019273778112828245
4473,SINGLE LAIV,Synonymous,PB1-F2,0.0
4473,SINGLE LAIV,Synonymous,PA,3.187886033074318e-06
4473,SINGLE LAIV,Synonymous,PA-X,0.0
4473,SINGLE LAIV,Synonymous,HA,0.0003171243806164441
4473,SINGLE LAIV,Synonymous,NP,5.72573718866304e-06
4473,SINGLE LAIV,Synonymous,NA,0.0
4473,SINGLE LAIV,Synonymous,M1,0.0
4473,SINGLE LAIV,Synonymous,M2,0.0
4473,SINGLE LAIV,Synonymous,NS1,0.0
4473,SINGLE LAIV,Synonymous,NS2,0.0
4473,SINGLE LAIV,Synonymous,Whole_genome,7.54807260982685e-05
4479,SINGLE LAIV,Synonymous,PB2,1.4786967418546366e-05
4479,SINGLE LAIV,Synonymous,PB1,1.759014951627089e-05
4479,SINGLE LAIV,Synonymous,PB1-F2,0.0
4479,SINGLE LAIV,Synonymous,PA,8.766686590954372e-06
4479,SINGLE LAIV,Synonymous,PA-X,0.0
4479,SINGLE LAIV,Synonymous,HA,2.989837910472831e-05
4479,SINGLE LAIV,Synonymous,NP,0.0
4479,SINGLE LAIV,Synonymous,NA,0.0
4479,SINGLE LAIV,Synonymous,M1,0.0
4479,SINGLE LAIV,Synonymous,M2,0.0
4479,SINGLE LAIV,Synonymous,NS1,1.2987012987012986e-05
4479,SINGLE LAIV,Synonymous,NS2,2.34192037470726e-05
4479,SINGLE LAIV,Synonymous,Whole_genome,1.1204481792717087e-05
4486,PRIME BOOST,Synonymous,PB2,0.0
4486,PRIME BOOST,Synonymous,PB1,0.00021887171755245632
4486,PRIME BOOST,Synonymous,PB1-F2,0.0
4486,PRIME BOOST,Synonymous,PA,0.0
4486,PRIME BOOST,Synonymous,PA-X,0.0
4486,PRIME BOOST,Synonymous,HA,5.072646342487612e-05
4486,PRIME BOOST,Synonymous,M1,0.0
4486,PRIME BOOST,Synonymous,M2,0.0
4486,PRIME BOOST,Synonymous,NS1,0.0
4486,PRIME BOOST,Synonymous,NS2,0.0
4486,PRIME BOOST,Synonymous,Whole_genome,5.1120448179271715e-05
4490,NO VAC,Synonymous,PB2,0.0
4490,NO VAC,Synonymous,PB1,4.3975373790677215e-05
4490,NO VAC,Synonymous,PB1-F2,0.0
4490,NO VAC,Synonymous,PA,1.0891943946337251e-05
4490,NO VAC,Synonymous,PA-X,0.0
4490,NO VAC,Synonymous,HA,1.0749979003947258e-05
