SampleID,CollectionDate,Vaccination Status,Groups,FarmID,Room,PB2,PB1,PB1-F2,PA,PA-X,HA,NP,NA.,M1,M2,NS1,NS2,Whole
4473,7,LAIV_NONE,5,9,8,0.000124797,0.000231715,0.00167248,2.03E-05,2.92E-05,0.000648428,2.02E-05,6.11E-05,0.000268257,0,6.72E-05,0,0.00017684
4479,7,LAIV_NONE,5,9,10,5.87E-05,7.53E-05,0,4.94E-05,6.19E-05,9.98E-05,1.60E-05,2.94E-05,0,0,0.000181946,0.000328099,5.84E-05
4481,7,LAIV_NONE,5,9,10,8.95E-06,0.000179901,0,0.000180002,0.000155291,0,0,0.000348422,0,0,0,0,9.96E-05
4486,7,PRIME_BOOST,2,9,9,0.000441572,0.000327826,0.00181054,6.28E-05,0,0.000182313,NA,NA,0.000130734,0,0,0,0.000224587
4490,7,NO_VAC,7,9,9,0.00E+00,0.000149284,0,3.69E-05,0,0.000155971,3.46E-05,6.91E-05,0,0,0,0.00071896,8.35E-05
4492,7,LAIV_NONE,5,9,8,0.000111845,0.000120297,0,0.000163349,0.000124175,4.95E-05,0,7.84E-05,0.000114134,0,4.33E-05,7.80E-05,9.06E-05
4493,7,NO_VAC,7,9,11,0.000172278,0.000347419,0.000282792,0.00012175,0.000135253,0.00019376,0.00012067,0.000457984,0.000465889,0,0.000112461,0,0.000230605
4495,7,NO_VAC,7,9,7,0,0.000118775,0,0.000227802,2.90E-05,4.45E-07,0,0,0,0,0,0,5.79E-05
4499,7,PRIME_BOOST,1,9,3,NA,NA,NA,5.16E-05,4.13E-05,NA,NA,NA,NA,NA,NA,NA,5.16E-05
4934,7,LAIV_NONE,5,9,8,0.000234411,1.39E-05,0,0,0,0,0,0.000217568,2.80E-05,0.001071454,0.000213341,0.000226114,0.000107075
4937,7,LAIV_NONE,5,9,8,6.15E-05,9.08E-06,8.60E-05,0.00E+00,0,0.000367226,0,0,7.38E-05,0,0,0,6.41E-05
4938,7,NO_VAC,7,9,11,5.68E-05,0.000105762,0,2.07E-05,6.38E-05,0.000241875,5.53E-05,0.000301405,0.000292952,0,0.000109122,6.26E-05,0.000123983
5166,7,LAIV_NONE,5,9,10,9.41E-05,1.30E-05,0.000123436,0.00016699,0.000315014,0.000310774,0,3.94E-05,5.82E-05,0,0,0,9.38E-05
5167,7,NO_VAC,7,9,9,0.000348992,0.000180093,0,0.000112312,5.00E-05,0,0,0,0,0.00033546,0,0.001366932,0.000155771
5174,7,NO_VAC,7,9,3,2.65E-05,0.000128329,0,0.000333337,0.000666835,0.000103997,0.000175975,0.000360586,3.21E-05,0,0,0,0.000155516
5175,7,PRIME_BOOST,1,9,7,0.000438335,0.000101224,0,0.000139366,0.000237207,0.000438148,7.58E-05,0.000239617,0.000294966,0.000137936,0.00027624,0.000255701,0.000238495
5179,7,NO_VAC,7,9,3,0.000104963,0.000142593,0,9.26E-05,0,0,0,0.00012382,0,0,7.10E-05,6.61E-05,7.49E-05
5185,7,PRIME_BOOST,6,9,10,6.72E-05,NA,NA,0,0,0,0.000433207,NA,0.000233379,8.03E-05,NA,NA,0.000113669
4931,7,PRIME_BOOST,4,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
,,,,,,,,,,,,,,,,,,
