SampleID,CollectionDate,Vaccination Status,Group,FarmID,Room,PB2,PB1,PB1-F2,PA,PA-X,HA,NP,NA.,M1,M2,NS1,NS2,Whole
4467,7,PRIME_BOOST,4,9,9,7.52E-05,0.000144454,0,0,0,6.21E-05,0.000233156,1.60E-05,0.000108174,0,0.000803244,0.000732986,0.000121025
4469,7,PRIME_BOOST,6,9,10,NA,NA,NA,NA,NA,NA,8.62E-05,6.49E-05,0,0.000105584,0.000177066,0.000134537,8.84E-05
4471,7,PRIME_BOOST,1,9,9,0,0,0,NA,NA,0,0,0,0,0,0.000200318,0,1.20E-05
4479,7,LAIV_NONE,5,9,10,5.07E-05,0.000116691,0,5.41E-05,0.000132684,7.64E-05,4.04E-05,1.96E-05,0,0,0,0,5.45E-05
4481,7,LAIV_NONE,5,9,10,0.000299248,0.000177881,0,0,0,3.31E-05,2.26E-05,0.000254279,2.85E-05,0,0.000126657,0.000525083,0.000139558
4484,7,LAIV_NONE,5,9,10,0.000212226,0,0,0,0,1.62E-05,9.12E-05,0,0,0,0,0,4.93E-05
4486,7,PRIME_BOOST,2,9,9,0.000595906,0.000411555,0.000198641,0.000148867,0.000458101,0,0.000717331,0.00010142,9.19E-05,0,0.000132924,0,0.000303747
4490,7,NO_VAC,7,9,9,0.000388641,NA,NA,5.63E-05,0.000126388,3.01E-05,4.68E-05,5.33E-05,0,0,4.07E-05,0.000445011,0.000125842
4499,7,PRIME_BOOST,1,9,3,0.000402211,NA,NA,NA,NA,6.03E-05,1.61E-05,0.000149305,6.76E-05,0,0,0,0.000149924
4551,7,PRIME_BOOST,1,9,9,0,8.95E-07,0,9.62E-06,0,2.29E-05,0,0,0,0,0,0,4.70E-06
4552,7,PRIME_BOOST,6,9,10,0.000338621,0.000318079,0,0.000261156,0.000380957,6.40E-05,0.000128394,6.06E-05,0.00075328,0,0.000363941,6.19E-05,0.000247892
4931,7,PRIME_BOOST,4,9,9,0.000306533,0.000170313,0,0.000117916,6.21E-05,0.000216531,0.000187207,0.000155766,0,0.000391408,NA,NA,0.000188947
4933,7,PRIME_BOOST,6,9,10,0,0,0,0,0,0,2.69E-05,6.72E-05,0.000216599,0.000545178,0,0,2.57E-05
4934,7,LAIV_NONE,5,9,8,0.0001661,0.000344418,0,0.000122594,3.56E-05,0.000113353,3.07E-05,9.21E-05,0.00014329,9.99E-05,6.65E-05,0,0.000150477
4945,7,LAIV_NONE,5,9,10,0.000203816,2.31E-05,0,4.92E-05,0,0.000116307,0.000439699,1.85E-05,0,0.000141508,0,0,0.000117786
5166,7,LAIV_NONE,5,9,10,8.69E-05,1.51E-05,0,0.000264529,0,0.000282983,1.73E-05,0.000144486,0,0,0,0,0.000115175
5167,7,NO_VAC,7,9,9,0.000174665,4.89E-05,0,7.43E-05,8.33E-05,1.58E-05,3.67E-05,0.000749767,0,0,9.59E-05,0.000119631,0.000145861
5174,7,NO_VAC,7,9,3,0.000444174,1.57E-05,0,1.12E-05,0,1.24E-05,0,1.43E-05,0,0,3.24E-05,0,8.64E-05
5179,7,NO_VAC,7,9,3,0.000143877,7.90E-05,0,9.38E-05,0,4.87E-05,3.77E-05,2.80E-05,0,0,0,0,6.76E-05
5184,7,PRIME_BOOST,1,9,3,0.000244289,0.000182922,0,0.000226865,0,0,4.62E-05,0,0,0,0.000727933,0.001312665,0.00015309
5185,7,PRIME_BOOST,6,9,10,0.000184371,9.41E-05,0,0.000111709,3.54E-05,1.16E-05,0,5.98E-05,0,0,0,7.95E-05,7.67E-05
