SampleID,CollectionDate,Vaccination Status,Groups,FarmID,Room,PB2_piN,PB2_piS,PB1_piN,PB1_piS,PB1-F2_piN,PB1-F2_piS,PA_piN,PA_piS,PA-X_piN,PA-X_piS,HA_piN,HA_piS,NP_piN,NP_piS,NA_piN,NA_piS,M1_piN,M1_piS,M2_piN,M2_piS,NS1_piN,NS1_piS,NS2_piN,NS2_piS,Whole_piN,Whole_piS
4473,7,LAIV_NONE,5,9,8,0,0.000548927,2.25E-05,0.000971598,0.002150223,0,1.21E-05,5.02E-05,3.73E-05,0,0.0002763,0.0018953,0,8.79E-05,7.85E-05,0,0.000353076,0,0,0,8.85E-05,0,0,0,0.000106081,0.000489972
4479,7,LAIV_NONE,5,9,10,1.27E-05,0.000215174,2.32E-05,0.000259566,0,0,2.56E-05,0.000136668,7.91E-05,0,0,0.0004334,2.08E-05,0,3.78E-05,0,0,0,0,0,0.000181506,0.000186881,0.000315588,0.000390277,3.58E-05,0.000166352
4481,7,LAIV_NONE,5,9,10,1.16E-05,0,1.16E-05,0.000775009,0,0,6.43E-05,0.000604213,6.94E-05,0.000473578,0,0,0,0,0,0.001584759,0,0,0,0,0,0,0,0,1.69E-05,0.000384188
4486,7,PRIME_BOOST,2,9,9,0.000572316,0,0.000264925,0.000551944,0.002338276,0,8.00E-05,0,0,0,0.0000412,0.0006545,NA,NA,NA,NA,0.000172074,0,0,0,0,0,0,0,0.000248387,0.000209485
4490,7,NO_VAC,7,9,9,0,0,1.98E-05,0.00060707,0,0,0,0.000172083,0,0,0.000155,0.0001604,0,0.000150088,8.88E-05,0,0,0,0,0,0,0,0,0.003549188,3.02E-05,0.000238009
4492,7,LAIV_NONE,5,9,8,8.37E-05,0.000207975,9.72E-05,0.000202503,0,0,0.000110582,0.000357419,0.00010616,0.000192818,0.0000645,0,0,0,3.39E-05,0.000236506,0.000107066,0.000138771,0,0,5.69E-05,0,0,0.000385798,6.99E-05,0.000165562
4493,7,NO_VAC,7,9,11,0.000134148,0.000302648,0.000368804,0.00027399,0.000221177,0.000523199,0.000111574,0.000159767,0.000128443,0.000162968,0.0002523,0,0.000124886,0.000107661,0.000520012,0.000243063,0.000613196,0,0,0,0.000147956,0,0,0,0.000239691,0.000166098
4495,7,NO_VAC,7,9,7,0,0,7.50E-05,0.00027389,0,0,0.000290485,0,3.71E-05,0,0,0.0000019,0,0,0,0,0,0,0,0,0,0,0,0,5.80E-05,4.32E-05
4499,7,PRIME_BOOST,1,9,3,NA,NA,NA,NA,NA,NA,2.93E-05,0.000133442,5.28E-05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.51E-05,0.000100857
4934,7,LAIV_NONE,5,9,8,4.37E-05,0.000883235,0,6.31E-05,0,0,0,0,0,0,0,0,0,0,0.000229036,0.00017909,0,0.000118299,0,0.0049738,0.000228017,0.000170053,9.14E-05,0.000761153,4.23E-05,0.000301251
4937,7,LAIV_NONE,5,9,8,0,0.000270657,0,4.12E-05,0.000111124,0,0,0,0,0,0.0001353,0.0011435,0,0,0,0,9.71E-05,0,0,0,0,0,0,0,2.28E-05,0.000190285
4938,7,NO_VAC,7,9,11,2.38E-05,0.000169347,8.45E-05,0.000181319,0,0,2.64E-05,0,8.16E-05,0,0.0000681,0.0008234,7.21E-05,0,0.000341716,0.000161702,0.000233959,0.000487551,0,0,5.09E-05,0.000299171,7.93E-05,0,9.11E-05,0.000214172
5166,7,LAIV_NONE,5,9,10,1.32E-05,0.000369214,0,5.91E-05,0.000159424,0,0.00011794,0.000347195,0.000363869,0.000142662,0.0000284,0.0012548,0,0,0,0.00017927,7.66E-05,0,0,0,0,0,0,0,4.80E-05,0.000296731
5167,7,NO_VAC,7,9,9,0.000283915,0.000571998,1.57E-05,0.000761286,0,0,5.58E-05,0.000319929,6.39E-05,0,0,0,0,0,0,0,0,0,0.0004332,0,0,0,0,0.006753045,6.80E-05,0.000414429
5174,7,NO_VAC,7,9,3,1.55E-05,6.39E-05,9.91E-05,0.000232197,0,0,1.28E-05,0.001507767,0,0.003128304,0.0001354,0,0.000229202,0,0.000292338,0.000605719,0,0.000135746,0,0,0,0,0,0,8.88E-05,0.000476118
5175,7,PRIME_BOOST,1,9,7,0.000200748,0.00124699,0.000127727,8.29E-06,0,0,0.000177717,0,0.000303122,0,0.0002925,0.0009258,6.26E-05,0.000120358,0.000230431,0.000274633,0.000316681,0.00023007,0.000178134,0,0,0.001173725,0.000323866,0,0.000186406,0.000426104
5179,7,NO_VAC,7,9,3,0,0.000462,0,0.000646788,0,0,0,0.000431846,0,0,0,0,0,0,0,0.000563182,0,0,0,0,9.35E-05,0,8.37E-05,0,6.41E-06,0.000293003
5185,7,PRIME_BOOST,6,9,10,0,0.000295657,NA,NA,NA,NA,0,0,0,0,0,0,0.000564105,0,NA,NA,8.31E-05,0.00072044,0.000103648,0,NA,NA,NA,NA,9.93E-05,0.00013402
