SampleID,CollectionDate,Vaccination Status,Group,FarmID,Room,PB2_piN,PB2_piS,PB1_piN,PB1_piS,PB1-F2_piN,PB1-F2_piS,PA_piN,PA_piS,PA-X_piN,PA-X_piS,HA_piN,HA_piS,NP_piN,NP_piS,NA_piN,NA_piS,M1_piN,M1_piS,M2_piN,M2_piS,NS1_piN,NS1_piS,NS2_piN,NS2_piS,Whole_piN,Whole_piS
4467,7,PRIME_BOOST,4,9,9,4.52E-05,0.000177474,0.000185248,0,0,0,0,0,0,0,0.00006002,0.00007015,0.000213784,0.000299537,2.08E-05,0,9.48E-05,0.000153063,0,0,0.00053264,0.001707835,0,0.003617162,9.71E-05,0.000244957
4469,7,PRIME_BOOST,6,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.16E-05,0.00016886,8.41E-05,0,0,0,0.000135652,0,0.000141693,0.000296716,0.000170481,0,8.19E-05,9.16E-05
4471,7,PRIME_BOOST,1,9,9,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0.000862237,0,0,0,5.14E-05
4479,7,LAIV_NONE,5,9,10,1.37E-05,0.000176587,0.000124369,9.00E-05,0,0,6.90E-05,0,0.000169407,0,0,0.00035224,2.12E-05,0.000104463,2.55E-05,0,0,0,0,0,0,0,0,0,4.55E-05,9.51E-05
4481,7,LAIV_NONE,5,9,10,0.000113918,0.000930074,2.56E-05,0.000721443,0,0,0,0,0,0,0.00004236,0,0,9.77E-05,0.000130869,0.000676746,0,0.000120699,0,0,0.00016597,0,0,0.002591194,4.75E-05,0.00041025
4484,7,LAIV_NONE,5,9,10,0,0.000933824,0,0,0,0,0,0,0,0,0,0.00007462,0,0.000394687,0,0,0,0,0,0,0,0,0,0,0,0.000203737
4486,7,PRIME_BOOST,2,9,9,0.00043451,0.001147595,0.00044657,0.000289237,0.000257001,0,0.000189832,0,0.000584876,0,0,0,0.000491718,0.001472884,8.35E-05,0.000163401,7.36E-05,0.000152527,0,0,0,0.00057215,0,0,0.000264709,0.000444898
4490,7,NO_VAC,7,9,9,0.000159022,0.00117038,NA,NA,NA,NA,7.18E-05,0,0.000161343,0,0.00003857,0,4.07E-05,6.72E-05,0,0.000235276,0,0,0,0,5.34E-05,0,0.000563868,0,8.49E-05,0.000267888
4499,7,PRIME_BOOST,1,9,3,4.98E-05,0.001600712,NA,NA,NA,NA,NA,NA,NA,NA,0.00003517,0.00015134,2.10E-05,0,0.000100521,0.000316758,8.89E-05,0,0,0,0,0,0,0,4.61E-05,0.000487967
4551,7,PRIME_BOOST,1,9,9,0,0,1.15E-06,0,0,0,0,4.49E-05,0,0,0.00002937,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69E-06,6.51E-06
4552,7,PRIME_BOOST,6,9,10,0.000393781,0.000153395,0.000289362,0.000422421,0,0,0.000314323,6.84E-05,0.000486454,0,0.00005819,0.00008562,0.000149027,6.11E-05,7.85E-05,0,0.000907731,0.000269777,0,0,0.000431969,0.000147722,7.85E-05,0,0.000278885,0.000139885
4931,7,PRIME_BOOST,4,9,9,0.000102683,0.001000203,0.000202992,5.49E-05,0,0,0.000130922,7.11E-05,7.93E-05,0,0.00001586,0.00094061,7.42E-05,0.000563774,4.12E-05,0.000547325,0,0,0.000502921,0,NA,NA,NA,NA,0.000103752,0.000438715
4933,7,PRIME_BOOST,6,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000116211,6.62E-05,7.13E-05,3.53E-05,0.000803915,0,0.002578268,0,0,0,0,8.31E-06,0.00011549
4934,7,LAIV_NONE,5,9,8,0.000136156,0.000268699,0.000275398,0.000592627,0,0,0.000156334,0,0,0.00016743,0.00014509,0,0,0.000132786,3.86E-05,0.000274953,7.72E-05,0.000358442,0.000128326,0,8.71E-05,0,0,0,0.000120932,0.000206576
4945,7,LAIV_NONE,5,9,10,2.34E-05,0.000817523,2.97E-05,0,0,0,0,0.000229342,0,0,0,0.00053589,3.77E-05,0.001777345,0,8.18E-05,0,0,0.000181817,0,0,0,0,0,1.61E-05,0.000430215
5166,7,LAIV_NONE,5,9,10,0,0.000382418,0,6.91E-05,0,0,1.18E-05,0.001190708,0,0,0,0.00130389,0,7.50E-05,4.85E-05,0.000472604,0,0,0,0,0,0,0,0,6.53E-06,0.000452752
5167,7,NO_VAC,7,9,9,1.36E-05,0.000722609,2.59E-05,0.000131392,0,0,4.34E-05,0.000187948,0,0.000391912,0.00002022,0,4.79E-05,0,0.000483076,0.001664879,0,0,0,0,5.16E-05,0.00024347,0,0.000590331,6.98E-05,0.000376544
5174,7,NO_VAC,7,9,3,2.93E-05,0.001854985,2.01E-05,0,0,0,0,5.22E-05,0,0,0,0.0000573,0,0,1.86E-05,0,0,0,0,0,4.25E-05,0,0,0,1.16E-05,0.000316439
5179,7,NO_VAC,7,9,3,8.62E-05,0.000340372,1.97E-05,0.000290666,0,0,1.65E-05,0.000377184,0,0,0,0.00022429,0,0.00016294,3.63E-05,0,0,0,0,0,0,0,0,0,2.29E-05,0.000199386
5184,7,PRIME_BOOST,1,9,3,0,0.001074897,2.30E-05,0.000753929,0,0,0,0.001058159,0,0,0,0,6.02E-05,0,0,0,0,0,0,0,0,0.003133275,0,0.006477783,9.89E-06,0.000748637
5185,7,PRIME_BOOST,6,9,10,9.23E-05,0.00049779,0.000120614,0,0,0,0.000112593,0.000109201,0,0.000166467,0.0000149,0,0,0,7.75E-05,0,0,0,0,0,0,0,0,0.000392393,6.03E-05,0.00011386
