SampleID,PB2 ,PB1 ,PA ,HA ,NP ,NA ,M ,NS ,BALF
4473,S,S,S,S,S,S,S,S,H1
4479,S,S,S,S,S,S,S,S,H1
4480,S,S,S,S,S,S,S,S,H1
4481,S,S,S,S,S,S,S,S,H1
4486,S,S,S,S,F,F,S,S,H1
4490,S,S,S,S,S,S,S,S,H1
4492,S,S,S,S,S,S,S,S,H1
4493,S,S,S,S,S,S,S,S,H1
4495,S,S,S,S,S,S,S,S,H1
4497,S,S,S,F,S,F,S,S,H1
4499,F,F,S,F,F,F,F,F,H1
4934,S,S,S,S,S,S,S,S,H1
4936,S,S,S,S,S,S,S,S,H1
4937,S,S,S,S,S,S,S,S,H1
4938,S,S,S,S,S,S,S,S,H1
5166,S,S,S,S,S,S,S,S,H1
5167,S,S,S,S,S,S,S,S,H1
5174,S,S,S,S,S,S,S,S,H1
5175,S,S,S,S,S,S,S,S,H1
5179,S,S,S,S,S,S,S,S,H1
5185,S,F,S,S,S,F,S,F,H1
4467,S,S,S,S,S,S,S,S,H3
4469,F,F,F,F,S,S,S,S,H3
4471,S,S,F,S,S,S,S,S,H3
4479,S,S,S,S,S,S,S,S,H3
4481,S,S,S,S,S,S,S,S,H3
4484,S,S,S,S,S,S,S,S,H3
4486,S,S,S,S,S,S,S,S,H3
4490,S,F,S,S,S,S,S,S,H3
4497,S,S,S,S,S,S,S,S,H3
4499,S,F,F,S,S,S,S,S,H3
4551,S,S,S,S,S,S,S,S,H3
4552,S,S,S,S,S,S,S,S,H3
4931,S,S,S,S,S,S,S,F,H3
4933,S,S,S,S,S,S,S,S,H3
4934,S,S,S,S,S,S,S,S,H3
4945,S,S,S,S,S,S,S,S,H3
5166,S,S,S,S,S,S,S,S,H3
5167,S,S,S,S,S,S,S,S,H3
5168,S,S,S,S,S,S,S,S,H3
5174,S,S,S,S,S,S,S,S,H3
5179,S,S,S,S,S,S,S,S,H3
5184,S,S,S,S,S,S,S,S,H3
5185,S,S,S,S,S,S,S,S,H3
